brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,id
Nissan,Xterra Pro-4X,2011,"183,000 mi.",Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,Yes,12000.0,101486
Mazda,Mazda6 Touring,2020,"78,700 mi.",Gasoline,187.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,18000.0,101487
Hyundai,Tucson Limited,2020,"39,913 mi.",Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,Black Noir Pearl,Beige,None reported,,22749.0,101488
Pontiac,G6 GTP,2006,"100,545 mi.",Gasoline,201.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Gray,Black,None reported,Yes,5995.0,101489
RAM,2500 Laramie,2017,"117,878 mi.",Diesel,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,Transmission w/Dual Shift Mode,Red,Black,None reported,Yes,42000.0,101490
Chevrolet,Corvette Z06,2016,"41,500 mi.",Gasoline,650.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,7-Speed M/T,White,Black,None reported,Yes,66000.0,101491
Hyundai,Sonata Hybrid Limited,2015,"66,000 mi.",Hybrid,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,White,Gray,At least 1 accident or damage reported,Yes,15900.0,101492
Ford,Bronco,2021,"3,596 mi.",Gasoline,2.7L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Blue,Black Onyx,None reported,,56900.0,101493
Porsche,911 Carrera 4S,2020,"25,568 mi.",Gasoline,3.0L H6 24V GDI DOHC Twin Turbo,7-Speed Manual,Red,Black,None reported,Yes,134999.0,101494
Land,Rover Discovery SE,2004,"145,000 mi.",Gasoline,217.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Green,Beige,None reported,Yes,15500.0,101495
Chrysler,300C Base,2007,"86,000 mi.",Gasoline,340.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,Black,None reported,Yes,15000.0,101496
Dodge,Challenger SE,2010,"90,305 mi.",Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,12000.0,101497
Ford,F-150 Lariat SuperCrew,2004,"271,000 mi.",Gasoline,300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,A/T,Red,Beige,At least 1 accident or damage reported,Yes,9500.0,101498
Audi,S6 4.0T,2015,"74,000 mi.",Gasoline,420.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Gray,None reported,Yes,29950.0,101499
Ford,Transit Connect XL,2020,"119,000 mi.",Gasoline,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,18000.0,101500
RAM,1500 Rebel,2021,"32,000 mi.",Hybrid,395.0HP 5.7L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,White,Black,None reported,Yes,50927.0,101501
Rivian,R1S Adventure Package,2023,542 mi.,,835.0HP Electric Motor Electric Fuel System,A/T,Black,Black,None reported,Yes,92500.0,101502
Nissan,Murano SL,2021,"43,875 mi.",Gasoline,3.5L V6 24V MPFI DOHC,Automatic CVT,Magnetic Black,Graphite,At least 1 accident or damage reported,,29725.0,101503
Ford,F-150 XL,2021,"45,979 mi.",Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Agate Black Metallic,Black,None reported,Yes,38532.0,101504
Dodge,Ram 1500 ST,2010,"131,100 mi.",E85 Flex Fuel,310.0HP 4.7L 8 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,At least 1 accident or damage reported,Yes,12995.0,101505
BMW,535 i,2008,"135,000 mi.",Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,5699.0,101506
Jaguar,F-TYPE R,2018,"35,250 mi.",Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Black,None reported,Yes,68750.0,101507
Cadillac,Escalade Premium Luxury,2017,"55,000 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,49900.0,101508
Ford,F-150 XLT,2022,"18,465 mi.",Gasoline,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Gray,None reported,Yes,47500.0,101509
Chevrolet,Suburban 1500 LT,2014,"169,500 mi.",E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Purple,Brown,None reported,Yes,15000.0,101510
Lamborghini,Gallardo LP570-4 Superleggera,2011,"16,000 mi.",Gasoline,562.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Yellow,Black,None reported,Yes,229000.0,101511
Ford,F-150 XLT,2021,"25,352 mi.",Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Gray,Black,None reported,Yes,48459.0,101512
GMC,Sierra 2500 Denali,2021,"16,919 mi.",Diesel,445.0HP 6.6L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,73000.0,101513
Honda,Accord EX-L,2014,"62,000 mi.",Gasoline,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Gray,Black,At least 1 accident or damage reported,Yes,18987.0,101514
Ford,Fiesta ST,2019,"28,724 mi.",Gasoline,197.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,At least 1 accident or damage reported,Yes,18300.0,101515
Mazda,CX-30 Base,2020,"19,319 mi.",Gasoline,2.5L I4 16V GDI DOHC,6-Speed Automatic,Snowflake White Pearl,Black,At least 1 accident or damage reported,Yes,24899.0,101516
Land,Rover Range Rover Supercharged LWB,2020,"81,000 mi.",Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,64800.0,101517
Ford,F-250 Lariat,2019,"85,000 mi.",Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,52500.0,101518
Nissan,Pathfinder S,2020,"41,250 mi.",Gasoline,284.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,White,–,None reported,Yes,21865.0,101519
Buick,Enclave Avenir,2021,"31,181 mi.",Gasoline,3.6L V6 24V GDI DOHC,9-Speed Automatic,Rich Garnet Metallic,Chestnut,At least 1 accident or damage reported,Yes,42442.0,101520
RAM,1500 Laramie,2022,"15,607 mi.",Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Billet Silver Metallic Clearcoat,Black,None reported,,45999.0,101521
Kia,Telluride SX,2021,"24,423 mi.",Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,Black,Black,None reported,,44315.0,101522
Chevrolet,Corvette Z06,2016,"49,000 mi.",Gasoline,650.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,7-Speed M/T,Orange,–,None reported,Yes,75000.0,101523
Lexus,GX 470 Base,2007,"116,600 mi.",Gasoline,263.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Gray,None reported,Yes,19975.0,101524
Mercedes-Benz,E-Class E 350 4MATIC,2010,"67,800 mi.",Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,13999.0,101525
Chevrolet,Silverado 2500 High Country,2022,"16,000 mi.",Diesel,445.0HP 6.6L 8 Cylinder Engine Diesel Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,73995.0,101526
Nissan,Murano SV,2020,"47,147 mi.",Gasoline,3.5L V6 24V MPFI DOHC,Automatic CVT,Brilliant Silver Metallic,Graphite,None reported,Yes,23625.0,101527
Ford,Explorer XLT,2014,"127,558 mi.",Gasoline,3.5L V6 24V MPFI DOHC,6-Speed Automatic,Green,Charcoal Black,None reported,Yes,13715.0,101528
Ford,F-250 XLT,2022,"36,294 mi.",Diesel,6.7L V8 32V DDI OHV Turbo Diesel,Automatic,Oxford White,Medium Earth Gray,,,77535.0,101529
BMW,ALPINA B7 ALPINA B7 xDrive,2020,"15,097 mi.",Gasoline,4.4 Liter Twin Turbo,Automatic,Frozen Dark Silver Metallic,Black,None reported,,99998.0,101530
Lexus,RX 350 Base,2012,"160,900 mi.",Gasoline,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Gray,None reported,Yes,15000.0,101531
Chevrolet,Avalanche 1500 LT,2010,"170,000 mi.",E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Black,Black,At least 1 accident or damage reported,Yes,9000.0,101532
Acura,TLX Tech,2023,"2,118 mi.",Gasoline,2.0 Liter DOHC Turbo,Automatic,Red,Black,None reported,,41998.0,101533
Nissan,Juke SV,2011,"137,483 mi.",Gasoline,188.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,White,Gray,None reported,Yes,3200.0,101534
Lexus,LX 570 Three-Row,2018,"50,000 mi.",Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,65000.0,101535
Lexus,GX 470 Base,2006,"152,000 mi.",Gasoline,263.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,13995.0,101536
Nissan,350Z Touring,2006,"84,200 mi.",Gasoline,300.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Gray,None reported,Yes,10200.0,101537
Maserati,Ghibli S Q4,2015,"28,700 mi.",Gasoline,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Red,,,24900.0,101538
Toyota,4Runner SR5 Premium,2021,"36,180 mi.",Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,–,None reported,Yes,36990.0,101539
Mercedes-Benz,SL-Class SL550 Roadster,2007,"150,000 mi.",Gasoline,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,8000.0,101540
Ford,Explorer Limited,2017,"152,000 mi.",Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,None reported,Yes,15499.0,101541
Cadillac,XT5 Luxury,2019,"54,323 mi.",Gasoline,3.6 Liter DOHC,Automatic,Red,Beige,None reported,,27998.0,101542
Audi,Q5 2.0T Premium Plus,2017,"81,880 mi.",E85 Flex Fuel,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,8-Speed Automatic,Mythos Black Metallic,Black,None reported,Yes,21375.0,101543
BMW,M3 Base,2001,"81,000 mi.",Gasoline,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Gray,None reported,Yes,39000.0,101544
Jaguar,F-PACE SVR,2020,"38,800 mi.",Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,57500.0,101545
Chevrolet,Suburban Premier,2021,"51,890 mi.",Gasoline,5.3L V8 16V GDI OHV,10-Speed Automatic,Shadow Gray Metallic,Jet Black,None reported,Yes,59980.0,101546
Ford,F-250 Base,1997,"92,800 mi.",Gasoline,210.0HP 5.8L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Gray,None reported,Yes,9000.0,101547
Ford,Focus RS Base,2017,"26,000 mi.",Gasoline,350.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,37000.0,101548
Toyota,Land Cruiser Base,1993,"231,500 mi.",–,–,A/T,White,Gray,None reported,Yes,29500.0,101549
BMW,M3 Base,2002,"60,255 mi.",Gasoline,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Yellow,Black,None reported,Yes,28750.0,101550
Nissan,Altima 2.5 SV,2020,"22,295 mi.",Gasoline,2.5L I4 16V GDI DOHC,Automatic CVT,Scarlet Ember,Gray,None reported,,23599.0,101551
Dodge,Challenger R/T Scat Pack,2016,"7,928 mi.",–,–,6-Speed M/T,Red,Red,None reported,Yes,37500.0,101552
Nissan,Versa 1.8 S,2011,"109,902 mi.",Gasoline,122.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,None reported,Yes,4500.0,101553
Mercedes-Benz,GLE 350 GLE 350,2022,"18,815 mi.",Gasoline,2.0 Liter Turbo,Automatic,Black,Black,None reported,,61998.0,101554
Audi,TT Roadster quattro,2002,"69,300 mi.",Gasoline,225.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,At least 1 accident or damage reported,Yes,9995.0,101555
Chevrolet,Tahoe LT,2022,"2,894 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Beige,None reported,Yes,63900.0,101556
BMW,335 i,2011,"91,500 mi.",Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Beige,At least 1 accident or damage reported,Yes,13599.0,101557
Jeep,Wrangler Sahara,1998,"136,500 mi.",Gasoline,181.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Black,None reported,Yes,6999.0,101558
Jeep,Gladiator Overland,2021,"4,100 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,55000.0,101559
Toyota,RAV4 TRD Off Road,2020,"46,500 mi.",Gasoline,203.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,35200.0,101560
Chevrolet,Corvette Stingray w/2LT,2022,"3,158 mi.",Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Red,None reported,Yes,85989.0,101561
Porsche,Macan S,2019,"36,700 mi.",Gasoline,348.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Blue,At least 1 accident or damage reported,Yes,48990.0,101562
Mercedes-Benz,AMG E 63 S 4MATIC,2019,"40,000 mi.",Gasoline,603.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,72000.0,101563
Ford,F-150 Lariat,2020,"31,250 mi.",Gasoline,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,None reported,Yes,42500.0,101564
Ford,Transit-350 Base,2019,"94,650 mi.",Gasoline,275.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,–,None reported,Yes,37000.0,101565
Acura,RDX,2016,"132,252 mi.",Gasoline,3.5 Liter,Automatic,Crystal Black,Black,None reported,,18998.0,101566
Cadillac,CTS Luxury,2012,"62,500 mi.",Gasoline,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Beige,At least 1 accident or damage reported,Yes,18955.0,101567
Mercedes-Benz,SLK-Class SLK230 Kompressor,2003,"33,272 mi.",Gasoline,192.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,At least 1 accident or damage reported,Yes,11900.0,101568
Volkswagen,Eos 2.0T,2007,"59,700 mi.",Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,White,None reported,Yes,10000.0,101569
Lexus,GX 470 Base,2005,"198,000 mi.",Gasoline,270.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,Gray,At least 1 accident or damage reported,Yes,15500.0,101570
Jeep,Grand Wagoneer Series III,2022,"31,112 mi.",Gasoline,471.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,83000.0,101571
Lexus,NX 300 Base,2021,"6,449 mi.",Gasoline,2.0L I4 16V PDI DOHC Turbo,6-Speed Automatic,Silver,Black,At least 1 accident or damage reported,,35999.0,101572
Lexus,LX 570 Base,2013,"134,000 mi.",Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,At least 1 accident or damage reported,Yes,29995.0,101573
Toyota,4Runner SR5 Premium,2023,"1,400 mi.",Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,46500.0,101574
Nissan,NV Passenger NV3500 HD SL V8,2017,"46,496 mi.",Gasoline,375.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,41000.0,101575
Audi,S5 3.0T Prestige,2022,"14,739 mi.",Gasoline,3.0L,1-Speed Automatic,Daytona Gray Pearl Effect,Black,None reported,,61900.0,101576
BMW,840 Gran Coupe i xDrive,2020,"25,793 mi.",Gasoline,3.0L I6 24V GDI DOHC Turbo,8-Speed Automatic,Black Sapphire Metallic,Black,None reported,,52999.0,101577
Ford,Fusion SE,2016,"68,000 mi.",Gasoline,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,12500.0,101578
BMW,530 i xDrive,2020,"23,195 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Dark Graphite Metallic,Black,None reported,,38900.0,101579
BMW,M3 Base,2009,"112,000 mi.",Gasoline,420.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,28000.0,101580
Porsche,Cayenne Turbo GT,2022,"1,766 mi.",Gasoline,4.0L,Automatic,Custom Color,Black,None reported,,209995.0,101581
BMW,X5 xDrive40i,2021,"41,000 mi.",Hybrid,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,White,Black,None reported,Yes,50000.0,101582
INFINITI,Q50 3.0t Signature Edition,2017,"67,000 mi.",Gasoline,300.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,23000.0,101583
BMW,535 i xDrive,2013,"46,150 mi.",Gasoline,306.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,At least 1 accident or damage reported,Yes,17000.0,101584
Hyundai,Santa Fe SEL,2021,"25,000 mi.",Gasoline,191.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Gray,None reported,Yes,28500.0,101585
Audi,Q3 45 S line Premium,2022,"9,325 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Mythos Black Metallic,Black,None reported,,33610.0,101586
Chrysler,Pacifica Touring,2017,"63,000 mi.",–,–,9-Speed A/T,White,Beige,None reported,Yes,20000.0,101587
Nissan,Murano SL,2010,"138,700 mi.",Gasoline,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Gray,Black,At least 1 accident or damage reported,Yes,7000.0,101588
BMW,X5 xDrive40i,2020,"5,541 mi.",Gasoline,3.0 Liter Turbo,Automatic,White,Black,None reported,,56598.0,101589
Dodge,Charger R/T,2006,"91,300 mi.",Gasoline,350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Yellow,–,None reported,Yes,9200.0,101590
Mercedes-Benz,E-Class E 350,2012,"95,816 mi.",Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,None reported,Yes,12000.0,101591
Lincoln,Navigator Base,2013,"134,000 mi.",E85 Flex Fuel,310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Red,Black,None reported,Yes,21500.0,101592
Mercedes-Benz,S-Class S 63 AMG,2013,"77,648 mi.",Gasoline,536.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,Yes,40000.0,101593
Kia,EV6 GT-Line,2022,"22,000 mi.",,320.0HP Electric Motor Electric Fuel System,1-Speed A/T,Gray,Black,None reported,Yes,45000.0,101594
Lexus,LX 470 Base,1999,"82,000 mi.",Gasoline,230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,25000.0,101595
Dodge,Challenger SRT8 392,2012,"33,700 mi.",–,–,6-Speed M/T,Black,Black,None reported,Yes,33500.0,101596
INFINITI,QX60 Base,2016,"91,239 mi.",Gasoline,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,17500.0,101597
Chevrolet,Camaro 2LT,2017,"24,000 mi.",Gasoline,335.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Yellow,Black,None reported,Yes,32000.0,101598
Mercedes-Benz,S-Class S 580 4MATIC,2021,"4,700 mi.",Hybrid,496.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Black,Black,None reported,Yes,99900.0,101599
Mercedes-Benz,E-Class E 300 4MATIC,2017,"31,000 mi.",Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,White,At least 1 accident or damage reported,Yes,38000.0,101600
Nissan,Titan XD SV,2017,"80,000 mi.",Gasoline,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,Yes,23800.0,101601
Porsche,911 Carrera C4S,2006,"65,000 mi.",Gasoline,355.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Gray,,,43000.0,101602
Ford,Utility Police Interceptor Base,2013,"51,000 mi.",E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,10300.0,101603
Hyundai,Sonata SE,2018,"57,690 mi.",Gasoline,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,At least 1 accident or damage reported,Yes,15900.0,101604
Porsche,911 Carrera,2023,"1,500 mi.",Gasoline,379.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,149000.0,101605
Mercedes-Benz,S-Class S 63 AMG,2008,"93,000 mi.",Gasoline,518.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,17800.0,101606
Chevrolet,Cruze LS,2018,"100,000 mi.",Gasoline,153.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,8500.0,101607
RAM,1500 Classic SLT,2021,"32,092 mi.",Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Patriot Blue Pearlcoat,Black,None reported,Yes,35113.0,101608
BMW,X5 3.0si,2007,"99,700 mi.",Gasoline,260.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,8500.0,101609
Porsche,911 Carrera,2010,"61,600 mi.",Gasoline,345.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,51750.0,101610
Jeep,Grand Cherokee Limited,2015,"157,000 mi.",E85 Flex Fuel,290.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Black,None reported,Yes,17000.0,101611
Ford,Mustang GT Premium,2013,"18,000 mi.",Gasoline,412.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,None reported,Yes,29000.0,101612
GMC,Yukon Denali,2018,"76,000 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,44500.0,101613
Volvo,XC90 Hybrid T8 Inscription,2020,"44,487 mi.",Plug-In Hybrid,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,Blue,Brown,None reported,Yes,65000.0,101614
Audi,S4 3.0T Premium,2019,"12,000 mi.",Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,48000.0,101615
BMW,328 i,1997,"206,000 mi.",Gasoline,190.0HP 2.8L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,Black,At least 1 accident or damage reported,Yes,15900.0,101616
McLaren,570S Base,2017,"30,200 mi.",Gasoline,562.0HP 3.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Orange,Black,None reported,Yes,139000.0,101617
Lincoln,Navigator Base,2009,"191,775 mi.",E85 Flex Fuel,310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,9750.0,101618
Chevrolet,Corvette Stingray w/3LT,2020,"5,194 mi.",Gasoline,6.2L V8 16V GDI OHV,8-Speed Automatic with Auto-Shift,Arctic White,Tension,None reported,,87500.0,101619
Ford,F-150 Lariat,2020,"26,540 mi.",Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,46995.0,101620
BMW,X5 xDrive50i,2013,"58,000 mi.",Gasoline,400.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,17900.0,101621
Volvo,XC60 3.2,2012,"102,000 mi.",Gasoline,240.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Beige,None reported,Yes,10800.0,101622
Lexus,GX 460 Premium,2023,"2,533 mi.",Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,64900.0,101623
Chevrolet,Silverado 1500 LT,2017,"58,816 mi.",Gasoline,5.3L V8 16V GDI OHV,6-Speed Electronically Controlled Automatic with O,Black,Jet Black,None reported,,36590.0,101624
Audi,A6 55 Prestige,2021,"22,800 mi.",Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Blue,Brown,None reported,Yes,52000.0,101625
Subaru,Forester Base,2020,"32,744 mi.",Gasoline,182.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Gray,None reported,Yes,24000.0,101626
Jaguar,XF Luxury,2009,"91,491 mi.",Gasoline,300.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Beige,None reported,Yes,7000.0,101627
Toyota,FJ Cruiser Base,2007,"162,000 mi.",Gasoline,239.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,Black,None reported,Yes,23977.0,101628
Toyota,FJ Cruiser Base,2014,"86,000 mi.",Gasoline,260.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Blue,Black,None reported,Yes,41500.0,101629
Jaguar,F-TYPE R,2016,"11,684 mi.",Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,54900.0,101630
Lamborghini,Huracan LP580-2,2017,"14,586 mi.",Gasoline,"5.2L V-10 gasoline direct injection, DOHC, variable valve contro",Automatic,Blue Caelum,Nero Ade,None reported,,209991.0,101631
BMW,330 i,2017,"83,298 mi.",Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,18300.0,101632
Nissan,Murano SL,2005,"125,500 mi.",Gasoline,245.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Beige,None reported,Yes,3950.0,101633
